,mols_bitswet,T_F,bitswet_smiles,id,cid
121,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA368F0>,False,CN1CC[C@]23C[C@@H](CC[C@]2([C@H]1CC4=C3C(=C(C=C4)OC)OC)O)O,b_196,5463863.0
122,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA36A80>,False,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,b_197,3182.0
123,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA36030>,False,CC[N+](C)(C)C1=CC(=CC=C1)O.[Br-],b_199,9336.0
124,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA36990>,False,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC,b_200,3242.0
125,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA36C60>,False,CCOC(CN1CCN(CC1)CC(C)C(=O)C2=CC=CC=C2)C3=CC=CC=C3.Cl.Cl,b_202,73356.0
126,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA36B20>,False,CCOC(=O)C(C1=C(C2=CC=CC=C2OC1=O)O)C3=C(C4=CC=CC=C4OC3=O)O,b_205,54685524.0
127,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA36CB0>,False,CCNCC(C1=CC(=CC=C1)O)O.Cl,b_206,164652.0
128,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA36080>,False,CC(CC1=CC=CC=C1)N(C)CCNC2=NC3=C(N2C)C(=O)N(C(=O)N3C)C.Cl,b_208,115373.0
129,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA36D50>,False,CC(CC1=CC=CC=C1)NCCC#N.Cl,b_209,161245.0
130,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA36940>,False,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,b_211,13810.0
131,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6F3F30>,False,CC1=CC=C(C=C1)F,b_214,9603.0
132,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6F3C10>,False,COC1=C(C(=C2C(=C1)C=CC(=O)O2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,b_216,5273568.0
133,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6F3BC0>,False,C1=COC(=C1)CO,b_217,7361.0
134,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6F3800>,False,C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-].[NH4+],b_218,8577.0
135,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6F3DA0>,False,C[C@]12CC[C@@H](C[C@H]1CC[C@@H]3[C@@H]2[C@@H](C[C@]4([C@@]3(CC[C@@H]4C5=COC(=O)C=C5)O)C)O)O,b_220,259803.0
